pid,year,month,day,weight,quantity,value
P001,2017,1,10,64893,100,786047
P001,2017,1,20,24506,2357,282998
P001,2017,1,30,7930,247,596801
P001,2017,2,10,5107,2206,766565
P001,2017,2,20,54188,1662,1791564
P001,2017,2,30,25653,1385,704572
P001,2017,3,10,47321,11467,463180
P001,2017,3,20,14369,7854,130639
P001,2017,3,30,27339,4918,214979
P001,2017,4,10,34857,218,641880
P001,2017,4,20,8861,3779,175710
P001,2017,4,30,38567,9378,672898
P001,2017,5,10,28455,194,131443
P001,2017,5,20,13923,4154,408115
P001,2017,5,30,60959,3844,670607
P001,2017,6,10,25245,448,630580
P001,2017,6,20,16662,7077,968636
P001,2017,6,30,19800,1288,1282474
P001,2017,7,10,16822,297,912480
P001,2017,7,20,16679,252,1422354
P001,2017,7,30,71733,6278,864573
P001,2017,8,10,25049,1596,1895632
P001,2017,8,20,7039,8298,1966486
P001,2017,8,30,55481,6732,1368592
P001,2017,9,10,5007,3215,1287606
P001,2017,9,20,13527,5351,645410
P001,2017,9,30,110895,4904,1858441
P001,2017,10,10,7563,4711,1084080
P001,2017,10,20,35938,3316,1535675
P001,2017,10,30,23021,5318,934928
P001,2017,11,10,58257,3442,780699
P001,2017,11,20,19464,3404,1906836
P001,2017,11,30,16987,6565,281547
P001,2017,12,10,13701,3304,423543
P001,2017,12,20,14522,9542,1109087
P001,2017,12,30,15177,2535,636246
P001,2018,1,10,58640,521,1808413
P001,2018,1,20,39711,9003,2083470
P001,2018,1,30,31665,4801,693854
P001,2018,2,10,99345,15548,4890250
P001,2018,2,20,17622,3598,1822786
P001,2018,2,30,2594,1335,327939
P001,2018,3,10,5717,9704,200510
P001,2018,3,20,74711,621,1500292
P001,2018,3,30,42704,12990,1165626
P001,2018,4,10,64250,10841,1053671
P001,2018,4,20,21159,2195,1015679
P001,2018,4,30,19709,4832,604239
P001,2018,5,10,21393,1372,1213830
P001,2018,5,20,39379,9884,600933
P001,2018,5,30,38854,2599,1391031
P001,2018,6,10,33421,2048,365060
P001,2018,6,20,56967,1596,436987
P001,2018,6,30,11475,750,1353625
P001,2018,7,10,33061,1556,1429253
P001,2018,7,20,38947,2053,1141428
P001,2018,7,30,19930,3601,1006445
P001,2018,8,10,52619,9102,306512
P001,2018,8,20,7290,3460,598132
P001,2018,8,30,66360,3329,814128
P001,2018,9,10,29074,1920,838726
P001,2018,9,20,35399,4495,803678
P001,2018,9,30,9125,2618,1187095
P001,2018,10,10,47516,411,872285
P001,2018,10,20,19472,1664,843106
P001,2018,10,30,31687,782,1355938
P001,2018,11,10,27318,389,754348
P001,2018,11,20,15624,266,579813
P001,2018,11,30,25196,1874,2092980
P001,2018,12,10,19587,571,520578
P001,2018,12,20,21099,1849,1521282
P001,2018,12,30,8703,165,598837
P001,2019,1,10,32922,2622,322277
P001,2019,1,20,2629,554,431251
P001,2019,1,30,29460,5503,1360003
P001,2019,2,10,10348,1699,1237255
P001,2019,2,20,5860,235,1035694
P001,2019,2,30,17657,102,266199
P001,2019,3,10,5279,1069,410555
P001,2019,3,20,39093,841,917192
P001,2019,3,30,9137,560,282007
P001,2019,4,10,16571,1840,1926682
P001,2019,4,20,23798,2036,427138
P001,2019,4,30,41530,457,1096698
P001,2019,5,10,16263,650,384494
P001,2019,5,20,39569,1602,1483350
P001,2019,5,30,43845,1035,305915
P001,2019,6,10,23337,975,320242
P001,2019,6,20,6710,1322,733867
P001,2019,6,30,43920,387,713067
P001,2019,7,10,21865,399,1168342
P001,2019,7,20,22529,1014,204410
P001,2019,7,30,18817,2442,792935
P001,2019,8,10,14967,1364,229186
P001,2019,8,20,73503,467,436802
P001,2019,8,30,43356,3415,693827
P001,2019,9,10,28110,2071,239032
P001,2019,9,20,26218,459,210195
P001,2019,9,30,21889,6396,1786666
P001,2019,10,10,9967,2147,993184
P001,2019,10,20,19028,1373,342556
P001,2019,10,30,31246,6669,1149610
P001,2019,11,10,26260,2093,475784
P001,2019,11,20,19437,369,545914
P001,2019,11,30,14294,3465,1801300
P001,2019,12,10,41533,18971,4795617
P001,2019,12,20,18263,3252,1389072
P001,2019,12,30,25498,2739,386887
P001,2020,1,10,11914,862,810761
P001,2020,1,20,7413,116,443709
P001,2020,1,30,9506,1127,315047
P001,2020,2,10,5760,583,576457
P001,2020,2,20,21691,198,447572
P001,2020,2,30,16137,835,90121
P001,2020,3,10,23910,639,603230
P001,2020,3,20,14059,1696,201989
P001,2020,3,30,19097,1797,257232
P001,2020,4,10,22046,940,321528
P001,2020,4,20,24352,503,141295
P001,2020,4,30,7846,412,178371
P001,2020,5,10,9572,5646,3250707
P001,2020,5,20,24560,10860,270617
P001,2020,5,30,31751,3994,450559
P001,2020,6,10,38846,2179,449953
P001,2020,6,20,12038,2498,388489
P001,2020,6,30,41542,1447,235607
P001,2020,7,10,18173,2437,174604
P001,2020,7,20,11433,1247,170677
P001,2020,7,30,25242,3099,981178
P001,2020,8,10,6029,350,192887
P001,2020,8,20,52225,2657,212029
P001,2020,8,30,3171,508,225446
P001,2020,9,10,3322,347,1106987
P001,2020,9,20,14243,2271,1179724
P001,2020,9,30,20410,3991,729675
P001,2020,10,10,14046,167,189050
P001,2020,10,20,15987,225,2276819
P001,2020,10,30,25976,791,1394338
P001,2020,11,10,8244,2533,334655
P001,2020,11,20,12219,518,624859
P001,2020,11,30,25678,8127,261581
P001,2020,12,10,11839,1112,346488
P001,2020,12,20,16716,2338,271487
P001,2020,12,30,25805,8368,1027379
P001,2021,1,10,13453,840,237577
P001,2021,1,20,6962,800,558318
P001,2021,1,30,25031,908,471337
P001,2021,2,10,19676,2856,267841
P001,2021,2,20,15828,1002,665008
P001,2021,2,30,1953,180,95982
P001,2021,3,10,9583,664,505627
P001,2021,3,20,5682,849,324937
P001,2021,3,30,37641,778,474389
P001,2021,4,10,21965,1610,311471
P001,2021,4,20,14574,215,156462
P001,2021,4,30,35679,5748,619808
P001,2021,5,10,34532,1052,327122
P001,2021,5,20,33429,4075,1147375
P001,2021,5,30,21625,1647,479879
P001,2021,6,10,6549,537,884565
P001,2021,6,20,8173,1294,189057
P001,2021,6,30,13564,257,1006984
P001,2021,7,10,37415,1319,349913
P001,2021,7,20,10585,1145,712823
P001,2021,7,30,20496,2116,425447
P001,2021,8,10,28155,4979,677137
P001,2021,8,20,23784,392,296736
P001,2021,8,30,53554,6446,588546
P001,2021,9,10,33825,316,1130353
